"filename", "language", "JavaScript", "JSON", "Python", "PostCSS", "Markdown", "JavaScript JSX", "XML", "HTML", "Excel", "CSV", "comment", "blank", "total"
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\styles\pages\_cadastros.css", "PostCSS", 0, 0, 0, 980, 0, 0, 0, 0, 0, 0, 22, 161, 1163
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\styles\pages\_community.css", "PostCSS", 0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 31, 68, 549
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\styles\pages\_dashboard.css", "PostCSS", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 9, 18, 115
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\styles\pages\_documentation.css", "PostCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 8, 50
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\styles\pages\_gestao-acoes.css", "PostCSS", 0, 0, 0, 647, 0, 0, 0, 0, 0, 0, 7, 111, 765
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\styles\pages\_preventivas.css", "PostCSS", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 13, 30, 204
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\styles\pages\_tickets.css", "PostCSS", 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 7, 41, 284
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\package-lock.json", "JSON", 0, 1329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1330
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\run.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 33, 5386, 3080, 4610, 7, 9549, 1, 22, 29409, 210, 1506, 2610, 56423
